Date,IDStation,NameStation,Ammonia,Arsenic,Benzene,Benzo_a_pyrene,BlackCarbon,Cadmium,CO,Lead,Nikel,NO,NO2,NOx,Ozone,PM10,PM25,Sulfur_dioxide
2018-01-06T00:00:00Z,642,Pavia Via Folperti,3.6,NA,1.7,NA,NA,NA,NA,NA,NA,NA,45.90833333333333,122.68333333333334,0.6583333333333333,38,34,8.070833333333333
2018-01-06T00:00:00Z,693,Sannazzaro De Burgondi Agip,6.1,NA,2.3,NA,NA,NA,NA,NA,NA,NA,34.420833333333334,83.3875,NA,41,38,2.8125
2018-01-06T00:00:00Z,703,Schivenoglia,28.5,NA,1.9,NA,NA,NA,1.4541666666666666,NA,NA,NA,30.420833333333334,72.3375,6.641666666666667,86,82,6.070833333333334
2018-01-07T00:00:00Z,677,Cremona Via Fatebenefratelli,5.7,NA,NA,NA,NA,NA,0.6,NA,NA,NA,38.525,77.05833333333334,1.775,35,30,1.9375
2018-01-07T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,3,NA,4.7,NA,NA,NA,NA,NA,34.670833333333334,87.65,2.9625,47,35,1.65
2018-01-07T00:00:00Z,681,Moggio,1.9,NA,NA,NA,NA,NA,NA,NA,NA,0,1.4833333333333334,1.5416666666666667,69.67916666666666,10,8,NA
2018-01-07T00:00:00Z,642,Pavia Via Folperti,3.3,NA,1.7,NA,NA,NA,NA,NA,NA,NA,38.166666666666664,78.65,1.675,37,29,6.720833333333333
2018-01-07T00:00:00Z,693,Sannazzaro De Burgondi Agip,5.7,NA,2,NA,NA,NA,NA,NA,NA,NA,37.329166666666666,65.75416666666666,NA,37,33,4.866666666666666
2018-01-07T00:00:00Z,703,Schivenoglia,21.8,NA,1,NA,NA,NA,1.325,NA,NA,NA,22.008333333333333,45.725,8.779166666666667,43,33,5.245833333333334
2018-01-08T00:00:00Z,677,Cremona Via Fatebenefratelli,6.2,NA,NA,NA,NA,NA,0.3875,NA,NA,NA,33.90416666666667,56.88333333333333,8.595833333333333,37,19,0.525
2018-01-08T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,1.4,NA,2.1,NA,NA,NA,NA,NA,26.120833333333334,49.425,16.995833333333334,29,16,1.7
2018-01-08T00:00:00Z,681,Moggio,1.7,NA,NA,NA,NA,NA,NA,NA,NA,0,1.975,2.0416666666666665,73.89583333333333,11,7,NA
2018-01-08T00:00:00Z,642,Pavia Via Folperti,4.8,NA,0.7,NA,NA,NA,NA,NA,NA,NA,24.691666666666666,32.15833333333333,18.520833333333332,28,20,5.608333333333333
2018-01-08T00:00:00Z,693,Sannazzaro De Burgondi Agip,5.4,NA,0.9,NA,NA,NA,NA,NA,NA,NA,24.525,29.329166666666666,NA,24,19,3.0458333333333334
2018-01-08T00:00:00Z,703,Schivenoglia,NA,NA,0.3,NA,NA,NA,1.05,NA,NA,NA,13.445833333333333,14.041666666666666,30.820833333333333,31,17,3.4130434782608696
2018-01-09T00:00:00Z,677,Cremona Via Fatebenefratelli,4.2,NA,NA,NA,NA,NA,0.25833333333333336,NA,NA,NA,26.245833333333334,37.766666666666666,29.654166666666665,27,17,0.375
2018-01-09T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,1.2,NA,1.6,NA,NA,NA,NA,NA,25.583333333333332,45.7125,24.6125,24,15,1.4791666666666667
2018-01-09T00:00:00Z,681,Moggio,1.7,NA,NA,NA,NA,NA,NA,NA,NA,0,1.9166666666666667,1.6083333333333334,75.41666666666667,15,6,NA
2018-01-09T00:00:00Z,642,Pavia Via Folperti,3.7,NA,0.6,NA,NA,NA,NA,NA,NA,NA,30.354166666666668,45.25416666666667,21.1875,23,16,5.808333333333334
2018-01-09T00:00:00Z,693,Sannazzaro De Burgondi Agip,5.1,NA,0.8,NA,NA,NA,NA,NA,NA,NA,22.96666666666667,27.116666666666667,NA,15,16,2.533333333333333
2018-01-09T00:00:00Z,703,Schivenoglia,NA,NA,0.3,NA,NA,NA,1.0708333333333333,NA,NA,NA,17.533333333333335,21.366666666666667,23.941666666666666,36,21,2.4166666666666665
2018-01-10T00:00:00Z,677,Cremona Via Fatebenefratelli,3.2,NA,NA,NA,NA,NA,0.38333333333333336,NA,NA,NA,41.475,80.19583333333334,7.929166666666667,35,33,1.9166666666666667
