,0
0,0.24074073
1,0.35185188
2,0.08024691
3,0.22222222
4,0.35802472
5,0.32098767
6,0.17901234
7,0.16666667
8,0.16049382
9,0.17283951
10,0.13580246
11,0.20987654
12,0.33333334
13,0.37654322
14,0.41358027
15,0.4197531
16,0.5370371
17,0.16049382
18,0.28395063
19,0.4506173
20,0.47530866
21,0.3888889
22,0.37654322
23,0.15432099
24,0.17283951
25,0.12962963
26,0.111111104
27,0.20987654
28,0.20987654
29,0.055555556
30,0.06172839
31,0.14814815
32,0.27160496
33,0.20987654
34,0.25308645
35,0.20987654
36,0.06172839
37,0.055555556
38,0.08641975
39,0.18518518
40,0.17901234
41,0.21604939
42,0.04938272
43,0.1419753
44,0.030864198
45,0.12345679
46,0.16666667
47,0.055555556
48,0.08641975
49,0.16666667
50,0.14814815
51,0.16049382
52,0.09876543
53,0.12345679
54,0.08641975
55,0.08641975
56,0.06172839
57,0.06172839
58,0.037037037
59,0.08641975
60,0.14814815
61,0.16049382
62,0.13580246
63,0.0925926
64,0.037037037
65,0.055555556
66,0.04938272
67,0.08641975
68,0.04938272
69,0.10493827
70,0.0925926
71,0.12345679
72,0.19753087
73,0.18518518
74,0.13580246
75,0.111111104
76,0.08024691
77,0.06790124
78,0.12962963
79,0.018518519
80,0.0925926
81,0.111111104
82,0.0925926
83,0.111111104
84,0.21604939
85,0.08641975
86,0.111111104
87,0.10493827
88,0.19135801
89,0.111111104
90,0.15432099
91,0.18518518
92,0.10493827
93,0.13580246
94,0.24691357
95,0.12345679
96,0.0925926
97,0.043209877
98,0.34567901
99,0.36419755
100,0.24074073
101,0.2037037
102,0.24691357
103,0.06790124
104,0.08024691
105,0.12345679
106,0.09876543
107,0.15432099
108,0.08641975
109,0.09876543
110,0.12345679
111,0.030864198
112,0.1419753
113,0.22839506
114,0.055555556
115,0.16049382
116,0.12962963
117,0.18518518
118,0.08641975
119,0.09876543
120,0.34567901
121,0.4197531
122,0.24074073
123,0.1419753
124,0.19753087
125,0.18518518
126,0.29012346
127,0.31481484
128,0.2037037
129,0.19135801
130,0.117283955
131,0.09876543
132,0.17901234
133,0.24691357
134,0.2962963
135,0.27160496
136,0.25925928
137,0.3271605
138,0.29012346
