,0
0,0.24561402
1,0.29239765
2,0.26900586
3,0.32748538
4,0.39766082
5,0.42105263
6,0.3859649
7,0.49122807
8,0.48538014
9,0.56725144
10,0.47368422
11,0.28070176
12,0.21637428
13,0.24561402
14,0.2982456
15,0.32163742
16,0.4385965
17,0.50292397
18,0.40935674
19,0.4619883
20,0.43274853
21,0.4385965
22,0.23391813
23,0.3157895
24,0.34502923
25,0.40350878
26,0.23391813
27,0.19883041
28,0.099415205
29,0.19883041
30,0.2631579
31,0.36257312
32,0.42105263
33,0.14619884
34,0.07602339
35,0.2982456
36,0.2631579
37,0.4385965
38,0.24561402
39,0.2748538
40,0.25730994
41,0.32748538
42,0.33333334
43,0.33333334
44,0.25730994
45,0.49122807
46,0.18128654
47,0.07602339
48,0.10526316
49,0.19883041
50,0.13450292
51,0.14035088
52,0.122807026
53,0.13450292
54,0.14619884
55,0.19298247
56,0.09356725
57,0.16374269
58,0.14619884
59,0.18128654
60,0.33918127
61,0.15204678
62,0.13450292
63,0.081871346
64,0.1754386
65,0.23976609
66,0.34502923
67,0.2982456
68,0.3157895
69,0.25730994
70,0.5438596
71,0.5438596
72,0.2748538
73,0.14035088
74,0.18128654
75,0.21052632
76,0.23976609
77,0.1871345
78,0.19883041
79,0.24561402
80,0.15789473
81,0.14619884
82,0.1871345
83,0.15204678
84,0.10526316
85,0.12865497
86,0.0877193
87,0.18128654
88,0.15789473
89,0.15204678
90,0.14035088
91,0.10526316
92,0.12865497
93,0.14619884
94,0.1754386
95,0.20467836
96,0.081871346
97,0.064327486
98,0.122807026
99,0.07017544
100,0.046783626
101,0.064327486
102,0.07602339
103,0.05263158
104,0.064327486
105,0.058479533
106,0.10526316
107,0.10526316
108,0.099415205
109,0.15204678
110,0.064327486
111,0.09356725
112,0.064327486
113,0.099415205
114,0.081871346
115,0.19883041
116,0.081871346
117,0.12865497
118,0.10526316
119,0.16959065
120,0.1754386
121,0.14035088
122,0.1754386
123,0.16959065
124,0.14619884
125,0.07017544
126,0.064327486
127,0.064327486
128,0.07017544
129,0.14619884
130,0.046783626
131,0.09356725
132,0.10526316
133,0.10526316
134,0.07602339
135,0.058479533
136,0.029239766
137,0.05263158
138,0.09356725
139,0.040935673
140,0.03508772
141,0.0877193
142,0.05263158
143,0.111111104
144,0.09356725
145,0.046783626
146,0.029239766
147,0.10526316
148,0.0877193
149,0.058479533
150,0.064327486
151,0.03508772
152,0.07017544
153,0.046783626
154,0.058479533
155,0.07602339
156,0.12865497
157,0.14035088
158,0.099415205
159,0.16374269
160,0.081871346
161,0.081871346
162,0.116959065
163,0.15204678
164,0.099415205
165,0.046783626
166,0.05263158
167,0.0877193
168,0.14035088
169,0.03508772
170,0.058479533
171,0.0877193
172,0.046783626
173,0.040935673
174,0.0877193
175,0.116959065
176,0.13450292
177,0.10526316
178,0.029239766
179,0.07017544
180,0.099415205
181,0.116959065
182,0.09356725
183,0.05263158
184,0.09356725
185,0.0877193
186,0.07602339
187,0.1871345
188,0.19883041
189,0.13450292
190,0.1754386
191,0.1754386
192,0.081871346
193,0.064327486
194,0.0116959065
195,0.03508772
196,0.0877193
197,0.099415205
198,0.14619884
199,0.14035088
200,0.15789473
201,0.12865497
202,0.15789473
203,0.10526316
204,0.099415205
205,0.07602339
206,0.099415205
207,0.116959065
208,0.15789473
209,0.09356725
210,0.14619884
211,0.12865497
212,0.15789473
213,0.064327486
214,0.07017544
215,0.081871346
216,0.18128654
217,0.122807026
218,0.07602339
219,0.03508772
220,0.07017544
221,0.040935673
222,0.07602339
223,0.10526316
224,0.14035088
225,0.22807017
226,0.13450292
227,0.0877193
228,0.0877193
229,0.1871345
230,0.2631579
231,0.29239765
232,0.20467836
233,0.20467836
234,0.2748538
235,0.29239765
236,0.23391813
237,0.21052632
238,0.15789473
239,0.21052632
240,0.21052632
241,0.13450292
242,0.116959065
243,0.09356725
244,0.040935673
245,0.01754386
246,0.029239766
247,0.099415205
248,0.12865497
249,0.21052632
250,0.1754386
251,0.12865497
252,0.023391813
253,0.023391813
254,0.07602339
255,0.111111104
256,0.122807026
257,0.19298247
258,0.24561402
259,0.18128654
260,0.0
261,0.058479533
262,0.09356725
263,0.14619884
264,0.111111104
265,0.12865497
266,0.12865497
267,0.1871345
268,0.28070176
269,0.3157895
270,0.26900586
271,0.28654972
272,0.38011697
273,0.32748538
274,0.23976609
275,0.13450292
276,0.05263158
277,0.081871346
278,0.099415205
279,0.10526316
280,0.058479533
281,0.081871346
282,0.14619884
283,0.07602339
284,0.07017544
285,0.16959065
286,0.25146198
287,0.29239765
288,0.35672516
289,0.2748538
290,0.24561402
291,0.32748538
292,0.3157895
293,0.2631579
294,0.36257312
295,0.040935673
296,0.07602339
297,0.18128654
298,0.24561402
299,0.33918127
300,0.32163742
